x,y,target_id
254.953,191.685,0
850.605,31.244,1
745.739,164.345,2
106.924,495.640,3
42.861,840.792,4
159.361,317.544,5
0.932,78.031,6
888.626,832.936,7
777.209,993.687,8
288.423,347.035,9
466.281,237.891,10
297.746,65.046,11
103.787,53.506,12
702.725,660.129,13
5.085,941.865,14
369.622,696.747,15
62.128,717.585,16
77.280,403.135,17
472.551,947.894,18
875.687,147.971,19
212.036,916.756,20
324.927,718.147,21
10.739,686.224,22
785.414,889.521,23
63.046,758.418,24
718.799,543.408,25
249.631,494.277,26
942.687,273.247,27
454.331,477.674,28
507.162,838.084,29
481.418,154.701,30
463.014,465.748,31
998.588,522.321,32
493.649,125.499,33
743.226,773.240,34
501.358,283.339,35
232.282,613.581,36
443.438,588.389,37
313.832,967.830,38
762.306,335.702,39
329.473,960.193,40
143.016,320.792,41
251.467,255.098,42
951.240,303.247,43
889.337,461.038,44
519.440,562.609,45
509.342,494.157,46
39.446,755.351,47
572.565,235.814,48
330.889,741.817,49
961.942,23.820,50
351.602,449.775,51
848.841,546.234,52
577.506,258.661,53
163.420,710.042,54
567.715,444.060,55
926.033,377.551,56
441.143,639.567,57
477.854,304.175,58
74.647,740.676,59
875.145,671.351,60
495.392,701.069,61
741.224,507.770,62
199.300,208.922,63
773.931,518.746,64
548.689,569.233,65
785.697,701.922,66
211.681,3.602,67
151.067,981.277,68
183.927,356.798,69
753.274,241.219,70
417.726,577.300,71
881.932,845.831,72
855.053,666.041,73
142.607,145.348,74
681.330,780.314,75
386.839,738.482,76
937.434,980.866,77
478.270,607.006,78
686.237,595.213,79
299.686,388.807,80
976.274,319.945,81
882.958,785.200,82
138.908,139.486,83
625.124,504.656,84
784.172,798.024,85
232.063,906.547,86
811.319,933.735,87
25.480,306.998,88
134.910,285.052,89
935.873,645.395,90
56.840,546.808,91
608.745,239.524,92
294.710,981.420,93
130.122,199.428,94
460.551,645.095,95
519.044,394.198,96
514.291,137.840,97
916.062,248.062,98
308.809,751.860,99
629.828,635.702,100
42.151,946.678,101
155.327,515.784,102
178.524,735.040,103
183.438,796.631,104
799.334,688.168,105
181.425,458.190,106
293.181,431.092,107
293.648,421.060,108
698.142,321.814,109
657.191,62.820,110
803.261,85.454,111
792.953,399.166,112
367.839,795.412,113
83.661,399.896,114
408.367,960.502,115
817.987,13.887,116
47.090,265.161,117
332.120,147.195,118
101.443,777.285,119
670.604,372.492,120
610.330,199.230,121
582.268,452.265,122
573.557,6.018,123
841.133,4.911,124
358.572,556.382,125
150.223,451.937,126
940.466,300.187,127
926.829,106.126,128
392.178,689.769,129
427.043,172.496,130
33.210,503.574,131
559.337,984.838,132
162.112,117.371,133
458.906,548.857,134
81.364,944.551,135
471.920,399.796,136
343.928,665.051,137
856.477,375.781,138
188.224,829.551,139
209.285,383.884,140
191.363,845.447,141
836.189,745.938,142
146.355,132.012,143
772.299,118.064,144
896.234,103.357,145
236.310,894.149,146
840.672,224.732,147
990.560,896.954,148
900.974,285.722,149
585.252,345.399,150
658.702,552.195,151
718.525,578.008,152
143.109,160.695,153
886.108,931.134,154
884.525,462.190,155
508.838,444.605,156
638.681,698.207,157
842.308,472.819,158
525.265,355.905,159
718.742,405.379,160
419.659,428.595,161
937.028,623.269,162
737.048,810.698,163
485.942,476.653,164
252.208,570.178,165
436.243,157.348,166
