x,y,target_id
254.856,191.686,0
850.605,31.336,1
745.739,164.345,2
106.923,495.732,3
42.763,840.724,4
159.468,317.545,5
0.820,77.932,6
888.626,832.875,7
777.208,993.800,8
288.509,347.155,9
466.169,237.820,10
297.746,65.046,11
103.786,53.507,12
702.818,660.058,13
5.199,941.865,14
369.740,696.846,15
62.034,717.585,16
77.280,403.056,17
472.669,947.894,18
875.624,148.046,19
212.115,916.655,20
325.000,718.148,21
10.739,686.224,22
785.413,889.454,23
63.046,758.337,24
718.798,543.470,25
249.631,494.162,26
942.592,273.150,27
454.258,477.557,28
507.239,838.006,29
481.418,154.787,30
463.082,465.674,31
998.588,522.403,32
493.648,125.499,33
743.140,773.240,34
501.428,283.340,35
232.282,613.581,36
443.438,588.470,37
313.832,967.927,38
762.206,335.702,39
329.472,960.194,40
143.016,320.854,41
251.581,255.010,42
951.302,303.178,43
889.336,461.038,44
519.440,562.498,45
509.341,494.251,46
39.375,755.352,47
572.640,235.814,48
330.889,741.817,49
961.942,23.715,50
351.602,449.776,51
848.763,546.307,52
577.425,258.662,53
163.419,710.105,54
567.821,443.954,55
925.947,377.552,56
441.064,639.567,57
477.854,304.175,58
74.647,740.565,59
875.145,671.351,60
495.305,701.070,61
741.291,507.771,62
199.300,208.986,63
773.930,518.852,64
548.750,569.132,65
785.606,701.923,66
211.743,3.682,67
150.988,981.360,68
183.857,356.685,69
753.183,241.219,70
417.725,577.194,71
882.037,845.831,72
854.943,666.042,73
142.607,145.461,74
681.213,780.410,75
386.778,738.416,76
937.434,980.934,77
478.269,606.908,78
686.236,595.214,79
299.686,388.906,80
976.383,320.062,81
882.861,785.315,82
138.815,139.487,83
625.124,504.657,84
784.261,798.115,85
232.063,906.611,86
811.203,933.735,87
25.480,307.073,88
134.987,285.166,89
935.873,645.510,90
56.916,546.928,91
608.745,239.433,92
294.709,981.322,93
130.122,199.428,94
460.445,645.008,95
519.044,394.261,96
514.202,137.840,97
916.133,248.062,98
308.924,751.860,99
629.828,635.779,100
42.151,946.679,101
155.420,515.876,102
178.524,735.040,103
183.438,796.632,104
799.334,688.238,105
181.326,458.075,106
293.245,431.191,107
293.648,421.160,108
698.141,321.814,109
657.251,62.820,110
803.261,85.379,111
793.047,399.232,112
367.839,795.413,113
83.726,399.806,114
408.367,960.404,115
817.986,13.769,116
47.153,265.161,117
332.120,147.195,118
101.329,777.175,119
670.604,372.601,120
610.406,199.122,121
582.186,452.349,122
573.557,5.916,123
841.132,4.911,124
358.467,556.451,125
150.301,452.019,126
940.465,300.188,127
926.933,106.062,128
392.177,689.667,129
426.932,172.607,130
33.210,503.575,131
559.337,984.758,132
162.031,117.457,133
458.836,548.958,134
81.364,944.453,135
471.920,399.796,136
344.030,665.052,137
856.390,375.781,138
188.141,829.552,139
209.285,383.964,140
191.362,845.536,141
836.189,745.939,142
146.354,132.115,143
772.299,117.993,144
896.332,103.257,145
236.382,894.068,146
840.672,224.732,147
990.474,897.022,148
901.039,285.723,149
585.139,345.400,150
658.636,552.196,151
718.525,577.934,152
143.046,160.696,153
886.228,931.052,154
884.525,462.190,155
508.718,444.714,156
638.681,698.325,157
842.308,472.927,158
525.265,355.905,159
718.742,405.281,160
419.658,428.685,161
937.101,623.269,162
737.048,810.634,163
485.942,476.540,164
252.208,570.107,165
436.171,157.456,166
402.622,928.427,167
240.472,782.985,168
171.637,755.955,169
594.847,766.053,170
487.250,578.123,171
523.000,394.302,172
603.752,425.645,173
940.467,906.746,174
148.343,727.351,175
731.308,193.459,176
73.460,238.874,177
771.044,50.136,178
191.781,207.491,179
382.821,517.174,180
194.949,48.342,181
560.692,138.183,182
485.609,606.160,183
320.254,621.706,184
740.193,819.709,185
299.932,822.304,186
669.178,277.370,187
82.123,399.474,188
447.102,944.306,189
817.130,34.989,190
495.864,789.311,191
961.690,637.677,192
975.211,450.136,193
93.985,451.948,194
549.074,720.314,195
678.333,406.769,196
948.557,733.949,197
413.759,926.844,198
897.084,640.483,199
878.189,174.327,200
558.568,387.669,201
563.011,659.047,202
432.647,935.940,203
584.451,355.386,204
678.514,776.618,205
135.241,846.430,206
785.319,65.354,207
224.587,182.498,208
158.310,559.491,209
802.050,796.496,210
391.767,989.430,211
762.967,84.502,212
508.188,79.356,213
167.061,634.196,214
283.867,389.554,215
208.605,96.478,216
956.058,956.646,217
63.748,554.128,218
968.072,261.536,219
790.285,413.751,220
266.977,569.136,221
693.332,718.958,222
506.685,795.078,223
379.756,279.061,224
978.616,125.547,225
92.242,708.077,226
229.127,794.272,227
885.512,53.191,228
265.927,802.748,229
395.953,53.916,230
550.178,69.555,231
263.374,734.410,232
19.490,206.945,233
580.043,51.117,234
885.531,360.602,235
60.458,735.074,236
210.681,717.892,237
336.940,437.713,238
876.754,796.151,239
446.661,997.833,240
887.350,843.496,241
52.310,914.100,242
93.169,428.525,243
781.782,404.844,244
804.202,603.950,245
427.569,608.535,246
350.377,67.248,247
86.244,487.118,248
398.806,912.229,249
501.484,138.782,250
737.305,816.667,251
364.600,133.109,252
100.247,635.344,253
121.286,279.924,254
208.274,375.951,255
892.041,574.945,256
900.523,445.843,257
967.274,135.615,258
417.541,994.385,259
322.097,296.281,260
989.474,336.567,261
905.081,797.011,262
678.706,871.241,263
945.295,127.169,264
311.458,577.121,265
962.121,309.534,266
647.768,415.978,267
34.752,325.025,268
3.426,134.258,269
193.240,64.156,270
499.760,626.110,271
366.119,593.008,272
963.140,251.347,273
980.950,283.282,274
756.495,663.125,275
82.910,859.331,276
22.383,719.995,277
980.459,34.217,278
636.248,69.084,279
892.610,456.248,280
481.664,262.805,281
828.508,591.892,282
902.315,478.446,283
336.633,284.954,284
805.391,318.761,285
667.618,661.716,286
323.264,901.299,287
579.489,999.000,288
601.026,839.982,289
523.390,346.456,290
800.400,934.182,291
738.988,254.413,292
88.907,459.230,293
451.637,178.522,294
319.975,342.559,295
441.840,99.490,296
392.359,462.963,297
200.731,159.800,298
519.247,658.899,299
133.425,626.075,300
262.655,327.419,301
431.941,445.970,302
176.143,201.179,303
156.252,569.701,304
230.193,859.255,305
880.314,773.351,306
831.478,76.262,307
412.371,97.500,308
277.169,100.049,309
440.549,133.083,310
185.435,595.035,311
137.649,194.551,312
807.819,921.220,313
317.032,22.683,314
622.110,649.097,315
801.158,607.121,316
510.499,592.370,317
62.320,587.365,318
305.965,476.731,319
632.264,684.813,320
878.793,832.616,321
979.774,778.034,322
476.391,459.637,323
182.585,309.747,324
921.645,432.456,325
310.889,785.793,326
526.411,281.388,327
39.567,183.762,328
490.531,417.478,329
732.049,133.456,330
607.656,980.298,331
417.075,474.599,332
826.879,857.351,333
19.188,734.253,334
654.991,924.417,335
885.950,442.362,336
175.248,920.667,337
818.643,746.664,338
773.350,20.130,339
972.660,894.286,340
941.952,713.197,341
220.473,465.869,342
591.980,851.284,343
258.404,68.853,344
797.714,912.199,345
354.707,538.215,346
651.084,982.505,347
466.915,886.516,348
795.618,431.803,349
649.876,317.108,350
150.527,367.065,351
633.366,445.922,352
670.996,356.050,353
304.429,170.425,354
531.604,776.316,355
97.907,590.587,356
956.767,918.459,357
154.274,479.525,358
650.261,771.847,359
926.591,827.188,360
467.089,671.393,361
793.036,897.958,362
408.358,552.349,363
595.819,862.771,364
783.320,664.327,365
390.644,73.726,366
764.631,514.525,367
345.753,343.220,368
507.351,218.691,369
711.584,246.313,370
546.093,964.616,371
866.240,667.122,372
121.297,306.559,373
608.912,818.796,374
38.386,376.289,375
858.523,453.655,376
71.250,488.090,377
849.211,640.918,378
590.635,377.233,379
946.056,237.592,380
40.847,395.095,381
203.758,345.264,382
305.651,476.133,383
830.078,120.118,384
118.322,41.151,385
596.150,168.856,386
218.071,719.983,387
766.460,270.773,388
213.043,507.910,389
901.656,250.688,390
152.995,64.721,391
928.186,75.685,392
322.110,515.778,393
138.466,785.654,394
287.457,891.049,395
291.915,65.181,396
750.654,4.700,397
157.646,293.659,398
349.817,913.983,399
813.673,561.298,400
306.892,548.892,401
467.107,278.918,402
529.224,105.533,403
929.327,367.230,404
394.397,975.810,405
823.233,538.919,406
841.788,332.317,407
62.779,702.904,408
425.684,993.240,409
317.055,474.051,410
58.890,703.243,411
35.648,439.351,412
788.261,313.401,413
208.246,833.167,414
999.000,498.223,415
689.915,464.604,416
190.586,478.067,417
118.861,632.787,418
290.266,537.982,419
871.878,220.683,420
952.468,112.309,421
197.125,666.374,422
614.853,158.494,423
173.895,669.098,424
155.855,99.813,425
961.921,974.535,426
809.015,269.596,427
252.644,795.783,428
283.075,254.287,429
620.781,629.910,430
345.507,468.076,431
835.307,402.970,432
316.029,716.658,433
933.994,99.224,434
40.487,280.906,435
573.849,68.991,436
